Date,W/L,H/A,eFG%,TOV%,ORB%,FTR,Team,eFG%_opp,TOV%_opp,ORB%_opp,FTR_opp
2019-03-10,0,1,0.5265151515151515,0.15802781289506954,0.22302158273381295,0.1893939393939394,PHO,0.5166666666666667,0.10314747141341507,0.18840579710144928,0.23333333333333334
2019-03-21,1,1,0.5652985074626866,0.12519848540368878,0.18518518518518517,0.11567164179104478,IND,0.4846743295019157,0.143867641769572,0.26119402985074625,0.16475095785440613
2019-03-23,0,1,0.5259259259259259,0.11499818423919622,0.18439716312056736,0.13333333333333333,DAL,0.5515267175572519,0.08442776735459662,0.17293233082706766,0.2099236641221374
2019-03-24,1,1,0.5573122529644269,0.12039031808389304,0.20833333333333334,0.16600790513833993,DET,0.5445736434108527,0.08224724788055168,0.28225806451612906,0.2441860465116279
2019-03-31,1,1,0.6333333333333333,0.12752075919335706,0.19834710743801653,0.15925925925925927,CHO,0.4981684981684982,0.08987417615338526,0.14705882352941177,0.21245421245421245
2019-04-02,1,1,0.6294964028776978,0.1505168692491196,0.25,0.11870503597122302,DEN,0.4854014598540146,0.11302795954788816,0.21830985915492956,0.14963503649635038
2019-04-05,1,1,0.5938628158844765,0.15122761238287272,0.19402985074626866,0.05415162454873646,CLE,0.5234657039711191,0.10156530051380093,0.291970802919708,0.148014440433213
2019-04-07,1,1,0.5921985815602837,0.10898522644708163,0.17518248175182483,0.08865248226950355,LAC,0.5158730158730159,0.13862671071260027,0.16176470588235295,0.25396825396825395
2018-10-25,0,1,0.5241635687732342,0.11250304062271954,0.2357142857142857,0.14869888475836432,POR,0.553763440860215,0.1160027161611589,0.2781954887218045,0.22939068100358423
2018-10-30,0,1,0.46223021582733814,0.11885435992578851,0.20754716981132076,0.16906474820143885,SAC,0.5434782608695652,0.12727684127163708,0.2152777777777778,0.16666666666666666
2018-11-02,0,1,0.4308510638297872,0.10739579705096947,0.18292682926829268,0.14893617021276595,LAC,0.5223577235772358,0.15761118752865658,0.19834710743801653,0.34959349593495936
2018-11-05,1,1,0.5167910447761194,0.1018895887365691,0.21323529411764705,0.13805970149253732,CLE,0.5020491803278688,0.14274591227614844,0.19672131147540983,0.16393442622950818
2018-11-07,0,1,0.5320754716981132,0.13170791472678264,0.20610687022900764,0.12452830188679245,DET,0.4550359712230216,0.1477858985382631,0.25949367088607594,0.2302158273381295
2018-11-09,1,1,0.5365384615384615,0.15201264745226803,0.20634920634920634,0.13846153846153847,WAS,0.5119047619047619,0.12525968471220825,0.19548872180451127,0.23015873015873015
2018-11-14,1,1,0.5580524344569289,0.1033316633266533,0.17829457364341086,0.13857677902621723,PHI,0.5610236220472441,0.13905683192261184,0.22950819672131148,0.20078740157480315
2018-11-17,1,1,0.5801526717557252,0.10881731127969159,0.19672131147540983,0.17557251908396945,LAL,0.5290909090909091,0.13725490196078433,0.2647058823529412,0.21454545454545454
2018-11-18,1,1,0.6070038910505836,0.11647866601275135,0.20535714285714285,0.23346303501945526,NYK,0.5128205128205128,0.127089923181202,0.26573426573426573,0.23443223443223443
2018-11-20,0,1,0.5670498084291188,0.1261564339781329,0.23387096774193547,0.21455938697318008,TOR,0.5293040293040293,0.14985590778097982,0.1968503937007874,0.15384615384615385
2018-12-05,0,1,0.5437262357414449,0.10150996066489024,0.1984126984126984,0.13688212927756654,DEN,0.5542635658914729,0.1215607210626186,0.24242424242424243,0.22093023255813954
2018-12-07,0,1,0.5185185185185185,0.10557694696311017,0.18840579710144928,0.12222222222222222,IND,0.5358565737051793,0.1578627808136005,0.184,0.1952191235059761
2018-12-13,1,1,0.4442307692307692,0.13930163447251115,0.176056338028169,0.12307692307692308,CHI,0.4868421052631579,0.19437605287028636,0.13008130081300814,0.15350877192982457
2018-12-15,1,1,0.4732510288065844,0.16712916246215942,0.15873015873015872,0.16049382716049382,UTA,0.5080321285140562,0.1420969887531745,0.2196969696969697,0.24096385542168675
2018-12-19,0,1,0.4897119341563786,0.15389447236180906,0.1875,0.18518518518518517,SAS,0.6118143459915611,0.10768609503297885,0.15306122448979592,0.2320675105485232
2018-12-23,0,1,0.4326530612244898,0.1205889819751206,0.24324324324324326,0.2,MIA,0.4887640449438202,0.09625797136325352,0.27972027972027974,0.18352059925093633
2018-12-26,0,1,0.4642857142857143,0.12792397660818713,0.2553191489361702,0.2261904761904762,PHO,0.5334448160535117,0.11826685302655628,0.28169014084507044,0.17391304347826086
2018-12-28,1,1,0.5154440154440154,0.14350984067478914,0.272,0.23166023166023167,TOR,0.44423791821561337,0.12351488060228208,0.20125786163522014,0.20446096654275092
2018-12-30,1,1,0.5218978102189781,0.12394788423844114,0.24603174603174602,0.21532846715328466,DET,0.47718631178707227,0.16337962422686428,0.3120567375886525,0.19011406844106463
2019-01-12,1,1,0.4704724409448819,0.12886597938144329,0.14482758620689656,0.2125984251968504,BOS,0.5280898876404494,0.09440857595322207,0.20437956204379562,0.20599250936329588
2019-01-13,1,1,0.501984126984127,0.11537981788699014,0.21052631578947367,0.24206349206349206,HOU,0.5384615384615384,0.12534981343283583,0.22794117647058823,0.3038461538461538
2019-01-18,0,1,0.554945054945055,0.10535821794099941,0.25396825396825395,0.1575091575091575,BRK,0.5532646048109966,0.11411712313515922,0.26573426573426573,0.16838487972508592
2019-01-19,0,1,0.5587188612099644,0.09731176255929937,0.1893939393939394,0.08540925266903915,MIL,0.5867924528301887,0.107958050586058,0.13675213675213677,0.15849056603773584
2019-01-25,0,1,0.5170454545454546,0.12090436464756378,0.2462686567164179,0.1893939393939394,WAS,0.5296442687747036,0.111323155216285,0.13768115942028986,0.18181818181818182
2019-01-29,0,1,0.4823321554770318,0.11895091098990368,0.3161290322580645,0.1166077738515901,OKC,0.5681818181818182,0.09209163117301715,0.22142857142857142,0.14335664335664336
2019-01-31,1,1,0.4928825622775801,0.11558021266759132,0.2922077922077922,0.1601423487544484,IND,0.47026022304832715,0.1191348973607038,0.19548872180451127,0.13382899628252787
2019-02-02,1,1,0.5053956834532374,0.11992511992511992,0.22818791946308725,0.1618705035971223,BRK,0.4835766423357664,0.11383039271485487,0.1388888888888889,0.21897810218978103
2019-02-07,1,1,0.5393258426966292,0.13144058885383805,0.18518518518518517,0.21722846441947566,MIN,0.5163636363636364,0.1057018603527422,0.3053435114503817,0.14545454545454545
2019-02-14,1,1,0.5557553956834532,0.07509311546317433,0.248,0.2158273381294964,CHO,0.45955882352941174,0.07834156924189466,0.3013698630136986,0.21323529411764705
2019-02-22,0,1,0.5708955223880597,0.09475486000733585,0.2204724409448819,0.1791044776119403,CHI,0.5131578947368421,0.1060477517876621,0.18181818181818182,0.21804511278195488
2019-02-28,1,1,0.516728624535316,0.12790005948839978,0.22916666666666666,0.1524163568773234,GSW,0.5373665480427047,0.10341567190639404,0.2158273381294964,0.1423487544483986
2019-03-08,1,1,0.5205223880597015,0.11453689945517583,0.21323529411764705,0.11567164179104478,DAL,0.5074349442379182,0.10239730152993615,0.2,0.16356877323420074
2019-03-14,1,1,0.48148148148148145,0.09783539195303902,0.26174496644295303,0.17407407407407408,CLE,0.49110320284697506,0.10168680464170354,0.18543046357615894,0.1423487544483986
2019-03-17,1,1,0.4869402985074627,0.10038938914577755,0.23129251700680273,0.1865671641791045,ATL,0.5204081632653061,0.12738147984049622,0.28378378378378377,0.12585034013605442
2019-03-20,1,1,0.5107142857142857,0.10665283062377492,0.2727272727272727,0.19285714285714287,NOP,0.49512987012987014,0.1321675477836519,0.2804878048780488,0.18181818181818182
2019-03-22,1,1,0.5071428571428571,0.10328207482212531,0.2222222222222222,0.21071428571428572,MEM,0.5735294117647058,0.109245630174793,0.23529411764705882,0.22426470588235295
2019-03-25,1,1,0.549645390070922,0.08550536619884419,0.25170068027210885,0.18085106382978725,PHI,0.4940944881889764,0.1066603460535672,0.26811594202898553,0.36220472440944884
2019-04-03,1,1,0.5422535211267606,0.09747164461247637,0.2867647058823529,0.1267605633802817,NYK,0.5190677966101694,0.14685225386285275,0.1732283464566929,0.2542372881355932
2019-04-05,1,1,0.579225352112676,0.12661789532920653,0.29770992366412213,0.15140845070422534,ATL,0.5321428571428571,0.10263427984946973,0.21476510067114093,0.2
2018-10-20,1,1,0.5801526717557252,0.13976448197930297,0.2601626016260163,0.15267175572519084,BRK,0.5534979423868313,0.1777536755844782,0.23214285714285715,0.205761316872428
2018-10-29,0,1,0.5776892430278885,0.10722641018975826,0.14414414414414414,0.15139442231075698,POR,0.5513833992094862,0.11502113902014424,0.23015873015873015,0.2490118577075099
2018-11-03,1,1,0.5236220472440944,0.12143479885415369,0.225,0.1968503937007874,BOS,0.5378787878787878,0.12204051745179399,0.18705035971223022,0.1590909090909091
2018-11-05,0,1,0.4959349593495935,0.12230306071249374,0.192,0.23983739837398374,HOU,0.5433884297520661,0.13654261399720563,0.21666666666666667,0.2066115702479339
2018-11-07,0,1,0.46862745098039216,0.11431043005437469,0.17692307692307693,0.2,PHI,0.5,0.1856665428889714,0.15454545454545454,0.43661971830985913
2018-11-16,1,1,0.5504201680672269,0.15683814303638643,0.13392857142857142,0.21008403361344538,MIA,0.5313725490196078,0.14360938247965532,0.20454545454545456,0.21176470588235294
2018-11-17,1,1,0.5101626016260162,0.164996333414813,0.15447154471544716,0.1951219512195122,ATL,0.43843283582089554,0.14598122280741926,0.19607843137254902,0.1865671641791045
2018-11-19,1,1,0.5325670498084292,0.14955731036133046,0.1893939393939394,0.14942528735632185,UTA,0.5208333333333334,0.1405371642723298,0.1694915254237288,0.20416666666666666
2018-11-23,0,1,0.5398550724637681,0.10608632395732298,0.24242424242424243,0.11594202898550725,SAS,0.527027027027027,0.11378608216552881,0.2740740740740741,0.25868725868725867
2018-12-04,1,1,0.5040983606557377,0.1794473023088886,0.176,0.22950819672131148,CHI,0.4626865671641791,0.13817133245224078,0.1793103448275862,0.13059701492537312
2018-12-08,1,1,0.5,0.12682691146273703,0.24060150375939848,0.20689655172413793,SAC,0.5716911764705882,0.10581690651832144,0.24603174603174602,0.13602941176470587
2018-12-10,1,1,0.5306513409961686,0.14018134096874255,0.25384615384615383,0.19540229885057472,WAS,0.516728624535316,0.10426596758817921,0.18439716312056736,0.20446096654275092
2018-12-12,1,1,0.5366795366795367,0.15828350334154062,0.27906976744186046,0.1969111969111969,MIL,0.4981751824817518,0.11170148532785895,0.2112676056338028,0.13138686131386862
2018-12-16,1,1,0.5164835164835165,0.10635783502718033,0.2706766917293233,0.1978021978021978,NYK,0.50355871886121,0.10648094854380108,0.21232876712328766,0.1708185053380783
2018-12-18,0,1,0.4763636363636364,0.08684714901772879,0.2608695652173913,0.1890909090909091,CLE,0.4868421052631579,0.11096042411539885,0.2152777777777778,0.15037593984962405
2018-12-23,1,1,0.5386100386100386,0.14668133480014667,0.25,0.138996138996139,WAS,0.5350553505535055,0.15301580235922546,0.20454545454545456,0.24354243542435425
2018-12-28,1,1,0.5823970037453183,0.13466042154566743,0.27049180327868855,0.1797752808988764,DET,0.47834645669291337,0.1791377892634794,0.24242424242424243,0.18110236220472442
2018-12-31,1,1,0.6122047244094488,0.1211827435773146,0.21739130434782608,0.23228346456692914,ATL,0.5136518771331058,0.14165063074620482,0.36423841059602646,0.13993174061433447
2019-01-15,1,1,0.5492700729927007,0.11200459506031017,0.24060150375939848,0.21532846715328466,PHO,0.46309963099630996,0.12567220014028524,0.21379310344827587,0.15498154981549817
2019-01-17,0,1,0.5375,0.11562030292519367,0.23529411764705882,0.16785714285714284,PHI,0.6146616541353384,0.13812154696132597,0.26605504587155965,0.18796992481203006
2019-01-19,1,1,0.522140221402214,0.10892604804521903,0.23357664233576642,0.2029520295202952,DAL,0.4981132075471698,0.11459589867310012,0.3284671532846715,0.18867924528301888
2019-01-20,1,1,0.5088652482269503,0.0927810367532623,0.24305555555555555,0.14184397163120568,CHO,0.5428015564202334,0.13327804762468903,0.27049180327868855,0.2529182879377432
2019-01-23,1,1,0.5216606498194946,0.07602481449945263,0.25547445255474455,0.18772563176895307,TOR,0.5293040293040293,0.10277190509748649,0.22900763358778625,0.20512820512820512
2019-01-28,0,1,0.48846153846153845,0.11541732474790427,0.2283464566929134,0.22692307692307692,GSW,0.5799256505576208,0.12015004102684328,0.2644628099173554,0.22676579925650558
2019-02-05,1,1,0.5503597122302158,0.0965134515623115,0.2318840579710145,0.1223021582733813,LAL,0.49429657794676807,0.14395946101577797,0.17829457364341086,0.22053231939163498
2019-02-07,1,1,0.5978260869565217,0.11414153550402499,0.2,0.11231884057971014,LAC,0.49808429118773945,0.12928442573662055,0.18181818181818182,0.19923371647509577
2019-02-09,1,1,0.6263940520446096,0.11883912934701026,0.2169811320754717,0.07434944237918216,CLE,0.477859778597786,0.116037620618053,0.2534246575342466,0.12177121771217712
2019-02-11,1,1,0.5918367346938775,0.13257324671881213,0.18,0.12244897959183673,CHO,0.4887640449438202,0.09728809436945153,0.2765957446808511,0.19101123595505617
2019-02-13,0,1,0.5426829268292683,0.10793308148947652,0.13392857142857142,0.13821138211382114,MIL,0.4616858237547893,0.11163408158339368,0.18,0.22988505747126436
2019-02-22,1,1,0.5294117647058824,0.10675709620698316,0.16793893129770993,0.20392156862745098,NOP,0.5161290322580645,0.1281029378273742,0.23809523809523808,0.15053763440860216
2019-02-28,1,1,0.5443548387096774,0.11388080475768696,0.208,0.25,MIN,0.5182481751824818,0.11984392419175027,0.2624113475177305,0.24087591240875914
2019-03-02,0,1,0.569327731092437,0.117096018735363,0.14912280701754385,0.2689075630252101,ORL,0.5241635687732342,0.12020675561966583,0.22857142857142856,0.1524163568773234
2019-03-05,1,1,0.5591836734693878,0.10836308006119327,0.18181818181818182,0.2653061224489796,CHI,0.5115131578947368,0.10158366326317983,0.22012578616352202,0.23355263157894737
2019-03-12,1,1,0.45155038759689925,0.10308028134853262,0.174496644295302,0.22093023255813954,NYK,0.475,0.13706140350877194,0.2246376811594203,0.1423076923076923
2019-03-14,1,1,0.46,0.12007684918347743,0.18439716312056736,0.28,OKC,0.5019157088122606,0.13172075200574782,0.22058823529411764,0.19157088122605365
2019-03-24,1,1,0.5260223048327137,0.13632053105737316,0.2578125,0.1449814126394052,DEN,0.4963768115942029,0.10023083464949581,0.2751677852348993,0.13768115942028986
2019-03-30,0,1,0.5404411764705882,0.11430634099386355,0.25,0.1213235294117647,ORL,0.5072727272727273,0.101772030651341,0.2826086956521739,0.16
2019-04-01,1,1,0.5739299610894941,0.13403192396734495,0.2644628099173554,0.17120622568093385,DET,0.5307692307692308,0.11212158963498194,0.24087591240875914,0.15384615384615385
2019-04-05,0,1,0.5210727969348659,0.11900402782863419,0.20930232558139536,0.1685823754789272,BOS,0.526615969581749,0.10358274433341458,0.20454545454545456,0.23574144486692014
2019-04-07,0,1,0.5018587360594795,0.10765255905511811,0.18248175182481752,0.11524163568773234,BRK,0.5498154981549815,0.11503067484662576,0.2753623188405797,0.17712177121771217
2018-10-21,0,1,0.4963898916967509,0.13293452974410103,0.2937062937062937,0.22743682310469315,ATL,0.5645756457564576,0.15357980565173684,0.20610687022900764,0.1881918819188192
2018-10-24,0,1,0.4822064056939502,0.13278336535201718,0.3013698630136986,0.17437722419928825,BRK,0.5524193548387096,0.1692661105065893,0.24166666666666667,0.18951612903225806
2018-10-27,0,1,0.4696969696969697,0.11951458690855603,0.3,0.18181818181818182,IND,0.5731225296442688,0.12698412698412698,0.18421052631578946,0.1422924901185771
2018-10-30,1,1,0.5283018867924528,0.10972716488730724,0.2903225806451613,0.2490566037735849,ATL,0.475,0.16577477896696138,0.17532467532467533,0.16923076923076924
2018-11-01,0,1,0.5077220077220077,0.12167616334283002,0.336,0.27413127413127414,DEN,0.5126353790613718,0.1187442075996293,0.30303030303030304,0.18050541516245489
2018-11-07,0,1,0.494,0.1574307304785894,0.1796875,0.132,OKC,0.5513307984790875,0.10994888862474742,0.19166666666666668,0.23193916349809887
2018-11-13,1,1,0.4981132075471698,0.14973646382367034,0.3014705882352941,0.12452830188679245,CHO,0.4706896551724138,0.07165787663379959,0.20915032679738563,0.2103448275862069
2018-11-21,0,1,0.47093023255813954,0.10664229128580134,0.23648648648648649,0.22868217054263565,LAL,0.532319391634981,0.1139225326777791,0.23015873015873015,0.22433460076045628
2018-11-24,1,1,0.5175438596491229,0.07155635062611808,0.34265734265734266,0.16842105263157894,HOU,0.5614754098360656,0.13786764705882354,0.25862068965517243,0.29098360655737704
2018-11-26,0,1,0.5315985130111525,0.11145921195324739,0.3467741935483871,0.17472118959107807,MIN,0.49110320284697506,0.08359207069500836,0.2714285714285714,0.17437722419928825
2018-12-01,0,1,0.4311023622047244,0.11237357972281183,0.19285714285714287,0.2125984251968504,TOR,0.6192468619246861,0.1250480954213159,0.1650485436893204,0.26359832635983266
2018-12-05,0,1,0.45660377358490567,0.092330419795642,0.25874125874125875,0.21509433962264152,GSW,0.5972222222222222,0.1298380116235934,0.2072072072072072,0.23015873015873015
2018-12-07,0,1,0.5135658914728682,0.10927938054202574,0.2578125,0.18992248062015504,SAC,0.5879120879120879,0.12254901960784313,0.25984251968503935,0.15018315018315018
2018-12-08,1,1,0.5675675675675675,0.10480182926829268,0.2627118644067797,0.14285714285714285,WAS,0.5402930402930403,0.09927797833935019,0.20588235294117646,0.17216117216117216
2018-12-12,1,1,0.519927536231884,0.08635578583765112,0.23357664233576642,0.12318840579710146,NYK,0.5185185185185185,0.12296065259117082,0.19402985074626866,0.13703703703703704
2018-12-14,0,1,0.4762773722627737,0.10743702996299391,0.21710526315789475,0.1678832116788321,MIL,0.49466192170818507,0.10301389215917119,0.23333333333333334,0.14590747330960854
2018-12-16,0,1,0.5131578947368421,0.11783901377810008,0.22142857142857142,0.17669172932330826,PHI,0.5666666666666667,0.12620333411598966,0.29545454545454547,0.17407407407407408
2018-12-23,0,1,0.5219123505976095,0.09519432773109245,0.1732283464566929,0.1553784860557769,CHI,0.5204918032786885,0.08864039274512478,0.2066115702479339,0.1680327868852459
2019-01-02,0,1,0.5,0.1237140252637062,0.16666666666666666,0.21991701244813278,MIA,0.5468164794007491,0.11717341665665186,0.32,0.1760299625468165
2019-01-04,0,1,0.49793388429752067,0.1213273871983211,0.1484375,0.2066115702479339,UTA,0.5680147058823529,0.0962116656644618,0.26119402985074625,0.1948529411764706
2019-01-05,0,1,0.4897959183673469,0.13631052836557186,0.15079365079365079,0.1673469387755102,NOP,0.615686274509804,0.12428761974051171,0.2743362831858407,0.24705882352941178
2019-01-08,0,1,0.516260162601626,0.14487276392038298,0.20161290322580644,0.2032520325203252,IND,0.5485611510791367,0.09831962817304254,0.226890756302521,0.1510791366906475
2019-01-21,0,1,0.4613821138211382,0.12436264146250467,0.16296296296296298,0.25203252032520324,CHI,0.5174418604651163,0.13151455835576217,0.26865671641791045,0.1744186046511628
2019-01-25,0,1,0.46525096525096526,0.14102256361017765,0.23809523809523808,0.16988416988416988,MIA,0.5080645161290323,0.14524103831891222,0.2578125,0.18548387096774194
2019-01-29,1,1,0.5363984674329502,0.11254220332624734,0.20588235294117646,0.13026819923371646,WAS,0.5470588235294118,0.08705184420944029,0.11594202898550725,0.18823529411764706
2019-02-02,0,1,0.5134099616858238,0.09015170355632927,0.2097902097902098,0.19157088122605365,DAL,0.546875,0.1295991907952965,0.21428571428571427,0.1328125
2019-02-05,0,1,0.5018867924528302,0.10104102878138395,0.23404255319148937,0.1660377358490566,BOS,0.5769230769230769,0.10460251046025104,0.1889763779527559,0.1282051282051282
2019-02-11,1,1,0.48148148148148145,0.13043993833748369,0.26,0.15925925925925927,NYK,0.48484848484848486,0.11005353955978585,0.23972602739726026,0.1893939393939394
